Handedness,Landmark_0_X,Landmark_0_Y,Landmark_1_X,Landmark_1_Y,Landmark_2_X,Landmark_2_Y,Landmark_3_X,Landmark_3_Y,Landmark_4_X,Landmark_4_Y,Landmark_5_X,Landmark_5_Y,Landmark_6_X,Landmark_6_Y,Landmark_7_X,Landmark_7_Y,Landmark_8_X,Landmark_8_Y,Landmark_9_X,Landmark_9_Y,Landmark_10_X,Landmark_10_Y,Landmark_11_X,Landmark_11_Y,Landmark_12_X,Landmark_12_Y,Landmark_13_X,Landmark_13_Y,Landmark_14_X,Landmark_14_Y,Landmark_15_X,Landmark_15_Y,Landmark_16_X,Landmark_16_Y,Landmark_17_X,Landmark_17_Y,Landmark_18_X,Landmark_18_Y,Landmark_19_X,Landmark_19_Y,Landmark_20_X,Landmark_20_Y,Label
Right,0.382953822612762,0.609352827072144,0.329398572444916,0.525583386421204,0.30939435958862305,0.445369601249695,0.305758953094482,0.367968082427979,0.300315082073212,0.312652796506882,0.40648448467254605,0.34924128651619,0.42547804117202803,0.231232687830925,0.444194912910461,0.164505437016487,0.46173006296157804,0.115192592144012,0.45262193679809604,0.361602514982223,0.497691810131073,0.235553205013275,0.53287547826767,0.162302896380425,0.561211377382278,0.110162824392319,0.492081582546234,0.399203956127167,0.542332857847214,0.284926891326904,0.574983954429626,0.222425356507301,0.6006447970867159,0.177537307143211,0.523926913738251,0.456562638282776,0.577885299921036,0.378425508737564,0.606381177902222,0.33013242483139,0.6279140710830691,0.286356627941132,back
Right,0.37822276353836104,0.656091570854187,0.328374564647675,0.56575483083725,0.308348953723907,0.483105421066284,0.300184547901154,0.406546086072922,0.29044508934020996,0.350633531808853,0.41311901807785,0.395916849374771,0.429376304149628,0.279929637908936,0.44301575422287,0.212262734770775,0.456689536571503,0.158710181713104,0.45927894115448,0.41011643409729,0.5021831095218661,0.282640039920807,0.532063961029053,0.211181834340096,0.555427014827728,0.159828782081604,0.496507108211517,0.445707023143768,0.545080274343491,0.338925510644913,0.574918508529663,0.278791964054108,0.5977020263671871,0.235253319144249,0.524897038936615,0.496031105518341,0.5724460184574129,0.419342756271362,0.6000688076019289,0.37307396531105,0.622663140296936,0.332277029752731,back
Right,0.397194087505341,0.661648571491241,0.345186650753021,0.574028551578522,0.32327902317047097,0.497109055519104,0.313699185848236,0.420016974210739,0.30000364780426003,0.363086432218552,0.423969626426697,0.416231870651245,0.438699007034302,0.299094051122665,0.450835525989532,0.230933427810669,0.463475346565247,0.177587375044823,0.470744907855988,0.429988712072372,0.508493185043335,0.302274584770203,0.5367637276649471,0.230687856674194,0.560493588447571,0.178727641701698,0.507719993591309,0.463103979825974,0.550466567277908,0.35279643535614,0.576956063508987,0.291321754455566,0.598241806030273,0.248630300164223,0.536318182945251,0.509252548217773,0.580001890659332,0.428662419319153,0.6049274504184721,0.380586266517639,0.625588655471802,0.340958058834076,back
Right,0.384657740592957,0.65891045331955,0.33050668239593495,0.579586207866669,0.30423438549041704,0.508677244186401,0.292178750038147,0.435882240533829,0.277582228183746,0.383196622133255,0.40076655149459794,0.415388196706772,0.409396111965179,0.30419385433197,0.419400990009308,0.240092024207115,0.431066155433655,0.188451364636421,0.44785791635513295,0.423909038305283,0.47885590791702304,0.300217151641846,0.501070111989975,0.230133786797523,0.520184010267258,0.179134875535965,0.486500203609467,0.453274965286255,0.524315237998962,0.3473781645298,0.545732796192169,0.286620020866394,0.561452060937881,0.243551209568977,0.517993360757828,0.49573090672493,0.5591064393520351,0.41955840587616,0.578805595636368,0.370495349168777,0.592902421951294,0.326751381158829,back
Right,0.386302351951599,0.660344123840332,0.32762742042541504,0.587145268917084,0.29870802164077803,0.517939865589142,0.284565091133118,0.444316774606705,0.26661986112594604,0.392244189977646,0.38771319389343295,0.423504680395126,0.392894804477692,0.309488743543625,0.400185763835907,0.244064643979073,0.40790855884552,0.193510368466377,0.43458497524261497,0.425847232341766,0.46318578720092796,0.296600520610809,0.483718037605286,0.225483626127243,0.499833703041077,0.174128413200378,0.475294649600983,0.450347244739533,0.509649634361267,0.336953163146973,0.528171509504318,0.274264812469482,0.5410149097442629,0.230393156409264,0.5090577304363251,0.490048795938492,0.547371923923492,0.408702194690704,0.565178900957108,0.359731435775757,0.577255129814148,0.316614508628845,back
Right,0.41610318422317505,0.659229874610901,0.354714393615723,0.588711619377136,0.32418131828308105,0.518505215644836,0.30831509828567505,0.448566436767578,0.29127275943756104,0.398491948843002,0.410674870014191,0.419951617717743,0.41265416145324696,0.310225367546082,0.41749012470245395,0.245268374681473,0.423458695411682,0.19609722495079,0.45921647548675504,0.423453867435455,0.48147952556610096,0.298025161027908,0.498992323875427,0.225751549005508,0.51314976811409,0.174107581377029,0.500755876302719,0.446783840656281,0.530156940221786,0.336330652236938,0.546670258045197,0.272372990846634,0.558843284845352,0.225968971848488,0.536188662052155,0.48402065038681,0.5674841403961179,0.402879685163498,0.584183067083359,0.353362619876862,0.595086395740509,0.311855882406235,back
Right,0.428938508033752,0.655961453914642,0.365575194358826,0.591018438339233,0.332020044326782,0.52429187297821,0.313903212547302,0.454818964004517,0.294841825962067,0.406765788793564,0.420740365982056,0.42064568400383,0.41666060686111395,0.308452248573303,0.41823899745941195,0.244090005755424,0.421803176403046,0.19555439054966,0.467154681682587,0.422293961048126,0.48354744911193803,0.293419361114502,0.49942433834075906,0.220193326473236,0.513014078140259,0.169408440589905,0.5075652897357941,0.444308191537857,0.5318945050239561,0.330022573471069,0.54533839225769,0.266400784254074,0.55589160323143,0.222405150532722,0.543341755867004,0.479347199201584,0.5739267468452449,0.395500063896179,0.588601529598236,0.345255196094513,0.597587406635284,0.302239000797272,back
Right,0.428472280502319,0.657180488109589,0.364110231399536,0.597836911678314,0.326052844524384,0.534548342227936,0.303389370441437,0.467205703258514,0.28179287910461404,0.416348040103912,0.40477830171585105,0.422365516424179,0.39391642808914196,0.306171119213104,0.39055156707763705,0.234968841075897,0.39006286859512296,0.175206154584885,0.45168942213058505,0.417702376842499,0.45913618803024303,0.283974289894104,0.467673063278198,0.201031401753426,0.47715508937835704,0.136516988277435,0.493416666984558,0.437228411436081,0.515719592571259,0.321303874254227,0.529302567243576,0.249456733465195,0.538580805063248,0.195293620228767,0.5300402939319611,0.472917586565018,0.556519895792007,0.390225529670715,0.5688366591930389,0.335810095071793,0.576490998268127,0.288093209266663,back
Right,0.419985771179199,0.664626121520996,0.35640239715576205,0.603359222412109,0.319446742534637,0.537201404571533,0.29645961523055997,0.471174538135529,0.274877488613129,0.421232223510742,0.39888519048690796,0.4248366355896,0.385647296905518,0.312374353408813,0.38086128234863303,0.240934506058693,0.37934947013855,0.181744977831841,0.44435065984725897,0.422011017799377,0.45176148414611805,0.286693722009659,0.459042727947235,0.202901050448418,0.46756947040557895,0.136834174394608,0.48539233207702603,0.442474395036697,0.507553219795227,0.321686029434204,0.5194725692272191,0.248855292797089,0.52777373790741,0.193137109279633,0.5220517516136169,0.479006260633469,0.54982253909111,0.390999019145966,0.562456518411636,0.334315776824951,0.5697655379772191,0.285383939743042,back
Right,0.417158007621765,0.679185450077057,0.35049641132354703,0.618603944778442,0.311340570449829,0.55537474155426,0.28568685054778997,0.489865928888321,0.263039946556091,0.441441982984543,0.38326865434646595,0.438162326812744,0.366846859455109,0.322902858257294,0.359602093696594,0.253072559833527,0.35624724626541104,0.195054575800896,0.43014007806778,0.430662781000137,0.43005269765853904,0.293644845485687,0.43356138467788696,0.211459055542946,0.439547002315521,0.148908913135529,0.47386395931243896,0.44721594452858,0.489684700965881,0.324761688709259,0.498407542705536,0.251691937446594,0.504541873931885,0.198257714509964,0.512756764888763,0.481077551841736,0.535587728023529,0.391508251428604,0.546167433261871,0.334595143795013,0.5524232089519501,0.286013811826706,back
